Unnamed: 0,Cod_Curso,Nome_Curso
0,1,EDUCAÇÃO
1,14,FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO
2,140,FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS)
3,142,CIÊNCIAS DA EDUCAÇÃO
4,143,FORMAÇÃO DE PROFESSORES DE EDUCAÇÃO INFANTIL
5,144,FORMAÇÃO DE PROFESSORES DA EDUCAÇÃO BÁSICA
6,145,FORMAÇÃO DE PROFESSORES COM ESPECIALIZAÇÃO EM MATÉRIAS ESPECÍFICAS
7,146,FORMAÇÃO DE PROFESSORES DE DISCIPLINAS PROFISSIONAIS 
9,2,HUMANIDADES E ARTES
10,21,ARTES
11,210,ARTES (CURSO GERAIS)
12,211,BELAS ARTES
13,212,MÚSICA E ARTES CÊNICAS
14,213,TÉCNICAS AUDIOVISUAIS E PRODUÇÃO DE MÍDIA
15,214,DESIGN E ESTILISMO
16,215,ARTESANATO
18,22,HUMANIDADES E LETRAS
19,220,HUMANIDADES E LETRAS (CURSO GERAIS)
20,221,RELIGIÃO
21,222,LÍNGUAS E CULTURAS ESTRANGEIRAS
22,223,LÍNGUA MATERNA (VERNÁCULA)
23,225,HISTÓRIA E ARQUEOLOGIA
24,226,FILOSOFIA E ÉTICA
26,3,"CIÊNCIAS SOCIAIS, NEGÓCIOS E DIREITO"
27,31,CIÊNCIAS SOCIAIS E COMPORTAMENTAIS
28,310,CIÊNCIAS SOCIAIS E COMPORTAMENTAIS (CURSOS GERAIS)
29,311,PSICOLOGIA
30,312,SOCIOLOGIA E ESTUDOS CULTURAIS
31,313,CIÊNCIA POLÍTICA E EDUCAÇÃO CÍVICA
32,314,ECONOMIA
34,32,JORNALISMO E INFORMAÇÃO
35,321,JORNALISMO E REPORTAGEM
36,322,"BIBLIOTECONOMIA, INFORMAÇÃO, ARQUIVOS"
38,34,COMÉRCIO E ADMINISTRAÇÃO
39,340,COMÉRCIO E ADMINISTRAÇÃO(CURSO GERAIS)
40,341,VENDAS EM ATACADO E VAREJO
41,342,MARKETING E PUBLICIDADE
42,343,"FINANÇAS, BANCOS, SEGUROS"
43,344,CONTABILIDADE E TRIBUTAÇÃO
44,345,GERENCIAMENTO E ADMINISTRAÇÃO
45,346,SECRETARIADO E TRABALHOS DE ESCRITÓRIO
46,347,VIDA PROFISSIONAL
48,38,DIREITO
49,380,DIREITO
51,4,"CIÊNCIAS, MATEMÁTICA E COMPUTAÇÃO"
52,42,CIÊNCIAS DA VIDA
53,420,CIÊNCIAS DA VIDA (CURSO GERAIS)
54,421,BIOLOGIA E BIOQUÍMICA
55,422,CIÊNCIAS AMBIENTAIS
57,44,CIÊNCIAS FÍSICAS
58,440,CIÊNCIAS FÍSICAS (CURSO GERAIS)
59,441,FÍSICA
60,442,QUÍMICA
61,443,CIÊNCIA DA TERRA
63,46,MATEMÁTICA E ESTATÍSTICA
64,461,MATEMÁTICA
65,462,ESTATÍSTICA
67,48,COMPUTAÇÃO
68,481,CIÊNCIA DA COMPUTAÇÃO
69,482,USO DO COMPUTADOR
70,483,PROCESSAMENTO DA INFORMAÇÃO
72,5,"ENGENHARIA, PRODUÇÃO E CONSTRUÇÃO"
73,52,ENGENHARIA E PROFISSÕES CORRELATAS
74,520,ENGENHARIA E PROFISSÕES DE ENGENHARIA (CURSOS GERAIS)
75,521,ENGENHARIA MECÂNICA E METALURGIA
76,522,ELETRICIDADE E ENERGIA
77,523,ELETRÔNICA E AUTOMAÇÃO
78,524,QUÍMICA E ENGENHARIA DE PROCESSOS
79,525,"VEÍCULOS A MOTOR, CONSTRUÇÃO NAVAL E AERONÁUTICA           "
81,54,PRODUÇÃO E PROCESSAMENTO
82,540,FABRICAÇÃO E PROCESSAMENTO (CURSOS GERAIS)
83,541,PROCESSAMENTO DE ALIMENTOS
84,542,"TÊXTEIS, ROUPAS, CALÇADOS, COURO"
85,543,"MATERIAIS (MADEIRA, PAPEL, PLÁSTICO, VIDRO)"
86,544,MINERAÇÃO E EXTRAÇÃO
88,58,ARQUITETURA E CONSTRUÇÃO
89,581,ARQUITETURA E URBANISMO
90,582,ENGENHARIA CIVIL E DE CONSTRUÇÃO
92,6,AGRICULTURA E VETERINÁRIA
93,62,"AGRICULTURA, FLORESTAS E RECURSOS PESQUEIROS"
94,620,"AGRICULTURA, SILVICULTURA, RECURSOS PESQUEIROS (CURSOS GERAIS)"
95,621,PRODUÇÃO AGRÍCOLA E PECUÁRIA
96,622,HORTICULTURA
97,623,ENGENHARIA  FLORESTAL – SILVICULTURA
98,624,RECURSO PESQUEIROS
100,64,VETERINÁRIA
101,641,VETERINÁRIA
103,7,SAÚDE E BEM ESTAR SOCIAL
104,72,SAÚDE
105,720,SAÚDE (CURSO GERAIS)
106,721,MEDICINA
107,723,ENFERMAGEM E ATENÇÃO PRIMÁRIA
108,724,ODONTOLOGIA
109,725,TECNOLOGIAS DE DIAGNÓSTICO E TRATAMENTO MÉDICO
110,726,TERAPIA E REABILITAÇÃO
111,727,FARMÁCIA
113,76,SERVIÇO SOCIAL
114,761,ATENDIMENTO À CRIANÇA E SERVIÇOS AOS JOVENS
115,762,SERVIÇO SOCIAL E ORIENTAÇÃO
117,8,SERVIÇOS
118,81,SERVIÇOS PESSOAIS
119,810,SERVIÇOS A PARTICULARES (CURSO GERAIS)
120,811,"HOTELARIA, RESTAURANTES E SERVIÇOS DE ALIMENTAÇÃO"
121,812,"VIAGENS, TURISMO E LAZER"
122,813,ESPORTES
123,814,CIÊNCIAS DOMÉSTICAS
124,815,SERVIÇOS DE  BELEZA 
126,84,SERVIÇOS DE TRANSPORTES
127,840,SERVIÇOS DE TRANSPORTES (CURSO GERAIS)
129,85,PROTEÇÃO AMBIENTAL
130,850,PROTEÇÃO AMBIENTAL (CURSO GERAIS)
131,851,TECNOLOGIA DE PROTEÇÃO AMBIENTAL
132,852,AMBIENTES NATURAIS E VIDA SELVAGEM
133,853,SERVIÇOS COMUNITÁRIOS DE  SANEAMENTO
135,86,SERVIÇOS DE SEGURANÇA
136,860,SERVIÇOS DE SEGURANÇA (CURSO GERAIS)
137,861,PROTEÇÃO DE PESSOAS E PROPRIEDADES
138,862,SAÚDE E SEGURANÇA DO TRABALHO
139,863,SETOR MILITAR E DE DEFESA
141,0,NÃO SABE E NÃO ESPECIFICADO
142,85,NÃO SABE E SUPERIOR NÃO ESPECIFICADO
